             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-18:16      -       -   7.7  51.0   0.0    0.0   2.8   4.7  14.1  18.6   4.0 725195.4 72974.6
07/17-18:17      -       -   7.8  51.1   0.0    0.0   2.9   2.2  14.1  18.6   4.0 728497.5 73177.9
07/17-18:18      -       -   7.8  51.1   0.0    0.0   2.8   1.7  14.1  18.6   4.0 712228.4 72125.1
07/17-18:19      -       -   7.7  51.1   0.0    0.0   2.8   1.1  14.1  18.6   4.0 727813.7 73452.3
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-18:20      -       -   7.7  51.1   0.0    0.0   2.9   1.4  14.1  18.6   4.0 722595.2 71173.3
07/17-18:21      -       -   7.7  51.2   0.0    0.0   3.0   4.9  14.1  18.6   4.0 726610.3 71271.7
07/17-18:22      -       -   7.6  51.2   0.0    0.0   3.0   2.4  14.1  18.6   4.0 719755.7 70372.4
07/17-18:23      -       -   7.5  51.2   0.0    0.0   3.0   1.3  14.1  18.6   4.0 722350.7 71290.5
07/17-18:24      -       -   7.6  51.2   0.0    0.0   2.9   1.0  14.1  18.6   4.0 722152.0 71241.1
07/17-18:25      -       -   7.7  51.2   0.0    0.0   3.0   1.4  14.1  18.6   4.0 724403.4 72323.1
07/17-18:26      -       -   7.7  51.2   0.0    0.0   3.0   1.5  14.1  18.6   4.0 722353.2 71820.3
07/17-18:27      -       -   7.7  51.2   0.0    0.0   3.0   6.0  14.1  18.6   4.0 729528.1 72819.2
07/17-18:28      -       -   7.6  51.2   0.0    0.0   3.1   1.6  14.1  18.6   4.0 725696.0 71688.4
07/17-18:29      -       -   2.1  51.2   0.0    0.0   3.2   1.5  14.1  18.6   4.0 143334.1 14007.7
07/17-18:30      -       -   0.5  51.2   0.0    0.0 123.5   1.2  14.1  18.6   4.0    21.0    23.6
07/17-18:31      -       -   0.6  51.1   0.0    0.0  39.3   1.8  14.0  18.6   4.0    11.6    39.3
07/17-18:32      -       -   9.2  19.5   0.0    0.0   1.3   7.1  14.1  18.6   4.0 436703.1 33685.9
07/17-18:33      -       -  11.5  33.3   0.0    0.0   1.5   2.0  14.1  18.6   4.0 842708.7 66745.3
07/17-18:34      -       -  10.4  42.6   0.0    0.0   1.8   1.0  14.1  18.6   4.0 841463.5 68313.9
07/17-18:35      -       -  11.2  42.7   0.0    0.0   2.1   1.5  14.1  18.6   4.0 841414.8 68218.1
07/17-18:36      -       -   9.7  50.8   0.0    0.0   2.3   1.7  14.1  18.6   4.0 835920.9 67616.4
07/17-18:37      -       -   8.8  50.8   0.0    0.0   2.5   2.3  14.0  18.6   4.0 844815.0 68807.7
07/17-18:38      -       -   9.0  50.8   0.0    0.0   2.7   5.1  14.0  18.6   4.0 843027.2 68758.4
07/17-18:39      -       -   9.3  50.9   0.0    0.0   2.9   1.2  14.0  18.6   4.0 845036.6 68105.9
07/17-18:40      -       -   9.1  50.9   0.0    0.0   2.9   1.4  14.0  18.6   4.0 841054.4 69759.3
07/17-18:41      -       -   8.7  50.9   0.0    0.0   2.8   1.2  14.0  18.6   4.0 838114.4 69195.9
07/17-18:42      -       -   9.2  51.0   0.0    0.0   3.1   1.7  14.0  18.6   4.0 845864.6 68834.7
07/17-18:43      -       -   8.9  51.0   0.0    0.0   3.1   4.1  14.0  18.6   4.0 852714.1 69061.3
07/17-18:44      -       -   8.8  51.0   0.0    0.0   3.2   2.8  14.0  18.6   4.0 854593.2 68903.0
07/17-18:45      -       -   8.9  51.1   0.0    0.0   3.3   1.8  14.0  18.6   4.0 855990.3 68521.4
07/17-18:46      -       -   8.3  51.1   0.0    0.0   3.1   1.5  14.0  18.6   4.0 853474.3 68895.6
07/17-18:47      -       -   8.6  51.1   0.0    0.0   3.1   1.5  14.0  18.6   4.0 855243.7 68681.2
07/17-18:48      -       -   8.8  51.3   0.0    0.0   3.1   2.5  14.1  18.6   4.0 853662.2 68775.6
07/17-18:49      -       -   8.7  51.4   0.0    0.0   3.2   4.6  14.1  18.6   4.0 843917.6 67478.6
07/17-18:50      -       -   8.4  51.4   0.0    0.0   3.2   1.7  14.1  18.6   4.0 853209.7 67300.6
07/17-18:51      -       -   8.4  51.4   0.0    0.0   3.2   1.3  14.1  18.6   4.0 853347.2 67729.8
07/17-18:52      -       -   8.7  51.4   0.0    0.0   2.8   1.8  14.0  18.6   4.0 857099.5 69621.5
07/17-18:53      -       -   8.3  51.5   0.0    0.0   2.7   2.6  14.1  18.6   4.0 859014.1 69741.2
07/17-18:54      -       -   8.4  51.5   0.0    0.0   2.8   5.3  14.1  18.6   4.0 853973.2 68284.9
07/17-18:55      -       -   8.0  51.5   0.0    0.0   2.9   1.5  14.1  18.6   4.0 853374.2 66256.6
07/17-18:56      -       -   8.0  51.5   0.0    0.0   2.8   1.2  14.1  18.6   4.0 842912.0 65626.5
07/17-18:57      -       -   7.8  51.5   0.0    0.0   2.7   1.7  14.0  18.6   4.0 849805.1 65577.7
07/17-18:58      -       -   8.0  51.5   0.0    0.0   2.8   1.6  14.1  18.6   4.0 850104.4 67464.2
07/17-18:59      -       -   8.2  51.5   0.0    0.0   2.7   5.7  14.1  18.6   4.0 852751.2 67863.5
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-19:00      -       -   8.2  51.5   0.0    0.0   2.9   1.6  14.1  18.6   4.0 851034.8 67628.1
07/17-19:01      -       -   8.0  51.5   0.0    0.0   2.6   1.2  14.1  18.6   4.0 844354.4 67104.0
07/17-19:02      -       -   3.5  51.5   0.0    0.0   2.7   1.8  14.1  18.6   4.0 315315.1 24727.8
07/17-19:03      -       -   0.3  51.5   0.0    0.0 123.9   1.4  14.1  18.6   4.0    21.5    23.8
07/17-19:04      -       -   0.6  51.4   0.0    0.0  42.8   2.5  14.0  18.6   4.0    13.2    20.2
07/17-19:05      -       -   7.5  19.5   0.0    0.0   1.2   6.2  14.1  18.6   4.0 339994.8 15145.0
07/17-19:06      -       -  13.3  28.8   0.0    0.0   1.3   2.0  14.1  18.6   4.0 963639.7 58832.6
07/17-19:07      -       -  13.3  29.3   0.0    0.0   1.6   1.7  14.1  18.6   4.0 963076.2 61862.6
07/17-19:08      -       -  11.3  43.9   0.0    0.0   1.8   1.7  14.1  18.6   4.0 954943.7 61079.6
07/17-19:09      -       -  10.1  44.0   0.0    0.0   2.2   2.2  14.1  18.6   4.0 968113.1 61579.5
07/17-19:10      -       -  11.2  44.3   0.0    0.0   2.4   5.0  14.1  18.6   4.0 944449.8 60532.9
07/17-19:11      -       -  10.4  47.3   0.0    0.0   2.7   1.5  14.1  18.6   4.0 960699.0 59817.7
07/17-19:12      -       -  10.1  50.9   0.0    0.0   3.0   1.8  14.1  18.6   4.0 963814.0 64034.8
07/17-19:13      -       -  10.2  51.1   0.0    0.0   3.0   1.3  14.1  18.6   4.0 965278.1 63525.0
07/17-19:14      -       -  10.0  51.2   0.0    0.0   3.1   2.2  14.1  18.6   4.0 961790.3 64733.8
07/17-19:15      -       -   9.8  51.2   0.0    0.0   3.4   4.8  14.1  18.6   4.0 967578.9 61459.4
07/17-19:16      -       -   9.7  51.2   0.0    0.0   3.3   1.7  14.1  18.6   4.0 958971.2 61702.9
07/17-19:17      -       -   9.6  51.2   0.0    0.0   3.5   1.7  14.1  18.6   4.0 976862.7 61246.5
07/17-19:18      -       -   9.8  51.2   0.0    0.0   3.3   1.2  14.1  18.6   4.0 979788.8 62169.9
07/17-19:19      -       -   9.6  51.3   0.0    0.0   3.2   1.9  14.1  18.6   4.0 978292.5 63355.4
07/17-19:20      -       -   9.6  51.3   0.0    0.0   3.0   1.9  14.1  18.6   4.0 979488.2 60826.2
07/17-19:21      -       -   9.5  51.3   0.0    0.0   3.2   5.2  14.1  18.6   4.0 976147.5 62653.1
07/17-19:22      -       -   9.4  51.4   0.0    0.0   3.2   2.0  14.1  18.6   4.0 976395.4 60650.0
07/17-19:23      -       -   9.3  51.4   0.0    0.0   3.2   1.0  14.1  18.6   4.0 976512.4 60948.0
07/17-19:24      -       -   9.2  51.4   0.0    0.0   2.9   1.3  14.1  18.6   4.0 978927.1 61712.0
07/17-19:25      -       -   9.0  51.5   0.0    0.0   2.8   2.3  14.1  18.6   4.0 981034.5 62569.5
07/17-19:26      -       -   9.1  51.5   0.0    0.0   2.7   4.5  14.1  18.6   4.0 961231.5 61823.0
07/17-19:27      -       -   9.2  51.5   0.0    0.0   2.7   2.4  14.1  18.6   4.0 980130.3 62928.9
07/17-19:28      -       -   8.9  51.5   0.0    0.0   3.0   1.1  14.1  18.6   4.0 970674.3 61355.3
07/17-19:29      -       -   8.7  51.5   0.0    0.0   2.9   1.6  14.1  18.6   4.0 977195.4 59647.5
07/17-19:30      -       -   8.9  51.5   0.0    0.0   2.9   2.5  14.1  18.6   4.0 977130.7 60566.5
07/17-19:31      -       -   8.9  51.5   0.0    0.0   2.8   4.4  14.1  18.6   4.0 980005.8 61060.9
07/17-19:32      -       -   8.7  51.5   0.0    0.0   2.8   2.2  14.1  18.6   4.0 975089.6 59530.3
07/17-19:33      -       -   8.6  51.5   0.0    0.0   3.0   1.0  14.1  18.6   4.0 976743.4 57934.5
07/17-19:34      -       -   8.9  51.5   0.0    0.0   3.2   1.4  14.1  18.6   4.0 976779.4 58081.2
07/17-19:35      -       -   4.9  51.5   0.0    0.0   3.0   1.6  14.1  18.6   4.0 489209.4 29869.4
07/17-19:36      -       -   0.5  51.5   0.0    0.0 116.8   2.1  14.1  18.6   4.0    22.5    28.8
07/17-19:37      -       -   0.7  51.4   0.0    0.0  41.8   5.9  14.0  18.6   4.0    34.8    36.3
07/17-19:38      -       -   6.1  19.4   0.0    0.0   1.3   3.0  14.1  18.6   4.0 178780.9 10138.9
07/17-19:39      -       -  13.4  23.3   0.0    0.0   1.1   1.6  14.1  18.6   4.0 1085288.6 37839.5
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
